City,Date,MeanRad
Chengdu,20191201,11.772126361836
Chengdu,20191202,11.823744603584
Chengdu,20191203,11.8254800626023
Chengdu,20191204,11.4735241755689
Chengdu,20191205,11.6887527119658
Chengdu,20191206,11.8321011868076
Chengdu,20191207,11.7214698080226
Chengdu,20191208,11.4618917859615
Chengdu,20191209,11.7126923384742
Chengdu,20191210,11.8411032727833
Chengdu,20191211,11.8411032727833
Chengdu,20191212,11.5637046643115
Chengdu,20191213,11.8411032727833
Chengdu,20191214,11.806902541046
Chengdu,20191215,11.8411907970198
Chengdu,20191216,11.8411032727833
Chengdu,20191217,11.8411032727833
Chengdu,20191218,10.9506613746638
Chengdu,20191219,11.7767826861833
Chengdu,20191220,11.8411032727833
Chengdu,20191221,11.5454095413246
Chengdu,20191222,11.8315275940537
Chengdu,20191223,11.8315275940537
Chengdu,20191224,11.8315275940537
Chengdu,20191225,11.8315275940537
Chengdu,20191226,11.8315275940537
Chengdu,20191227,11.8326173949869
Chengdu,20191228,11.1000266270285
Chengdu,20191229,11.8000153888208
Chengdu,20191230,11.8000153888208
Chengdu,20191231,11.8000153888208
Guangzhou,20191201,19.4326615871807
Guangzhou,20191202,18.7724657452393
Guangzhou,20191203,15.8981800250425
Guangzhou,20191204,16.0227781672793
Guangzhou,20191205,17.4446217470431
Guangzhou,20191206,19.2610641179173
Guangzhou,20191207,19.6874368020498
Guangzhou,20191208,17.2079998794924
Guangzhou,20191209,17.1008299688369
Guangzhou,20191210,14.7636377502338
Guangzhou,20191211,16.0113824241754
Guangzhou,20191212,17.4797746614076
Guangzhou,20191213,16.8083967875375
Guangzhou,20191214,15.4942507620997
Guangzhou,20191215,16.9917796832665
Guangzhou,20191216,16.4148520196663
Guangzhou,20191217,16.4082793468095
Guangzhou,20191218,16.6017873380695
Guangzhou,20191219,16.9238704192293
Guangzhou,20191220,16.5564742910828
Guangzhou,20191221,16.5877408552317
Guangzhou,20191222,16.2356195225118
Guangzhou,20191223,17.5213807007254
Guangzhou,20191224,16.0746269346662
Guangzhou,20191225,14.4773985458856
Guangzhou,20191226,15.8604134474432
Guangzhou,20191227,17.5323133882594
Guangzhou,20191228,15.8997115046487
Guangzhou,20191229,13.156191747984
Guangzhou,20191230,16.7379774110156
Guangzhou,20191231,16.2196206795754
Hangzhou,20191201,13.6176007478016
Hangzhou,20191202,14.1177836165258
Hangzhou,20191203,14.3235676318587
Hangzhou,20191204,13.9716701994631
Hangzhou,20191205,13.9955627781122
Hangzhou,20191206,12.0773735764781
Hangzhou,20191207,14.2372599521669
Hangzhou,20191208,14.9932616097847
Hangzhou,20191209,13.2123555097084
Hangzhou,20191210,11.7735675296716
Hangzhou,20191211,12.2922058092386
Hangzhou,20191212,13.0604145783059
Hangzhou,20191213,13.3692413320802
Hangzhou,20191214,13.1228067092991
Hangzhou,20191215,12.5056371451144
Hangzhou,20191216,13.0677462186813
Hangzhou,20191217,13.7984999863754
Hangzhou,20191218,13.9925448619186
Hangzhou,20191219,12.5596691921977
Hangzhou,20191220,13.9959356624845
Hangzhou,20191221,13.9958080148539
Hangzhou,20191222,12.0639781586673
Hangzhou,20191223,13.9813087403358
Hangzhou,20191224,12.6334349724672
Hangzhou,20191225,13.9598458084621
Hangzhou,20191226,12.3587736764786
Hangzhou,20191227,12.7095551182844
Hangzhou,20191228,13.8349151143724
Hangzhou,20191229,13.7943249992233
Hangzhou,20191230,11.8383370348398
Hangzhou,20191231,13.2700242529017
Houston,20191201,32.9701439870547
Houston,20191202,29.0259287780573
Houston,20191203,26.6457412694354
Houston,20191204,26.3426535618648
Houston,20191205,30.3297940079689
Houston,20191206,34.2276074956353
Houston,20191207,31.9188477234582
Houston,20191208,28.4770012529184
Houston,20191209,31.0449551197177
Houston,20191210,30.7285943774931
Houston,20191211,30.3945478651422
Houston,20191212,37.2489627576639
Houston,20191213,30.1152705720401
Houston,20191214,28.4819537881999
Houston,20191215,29.6578091470502
Houston,20191216,30.8288587390949
